child,6/9/2014,6/10/2014,6/11/2014,6/12/2014,6/16/2014,6/17/2014,6/18/2014,6/19/2014,6/23/2014,6/24/2014,6/25/2014,6/26/2014,6/30/2014,7/1/2014,7/2/2014,7/3/2014,7/7/2014,7/8/2014,7/9/2014,7/10/2014,7/14/2014,7/15/2014,7/16/2014,7/17/2014,7/21/2014,7/22/2014,7/23/2014,7/24/2014,7/28/2014,7/29/2014,7/30/2014,7/31/2014
4370,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
3635,1,,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
4207,1,1,1,1,1,1,1,1,,,,1,1,,,,,1,1,1,,,,,,,,,,,,
4276,,,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,
4066,1,1,1,1,,,,,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,,1,,,1,
4340,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3204,1,1,1,,1,1,1,1,1,1,,,1,,,,1,1,1,1,,1,1,1,1,,1,1,1,1,1,
3431,1,1,1,1,1,1,1,1,,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4165,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,
3448,,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
4043,1,1,1,1,1,1,,,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3145,1,1,1,1,1,1,,,1,1,1,1,1,,,,1,1,1,1,1,,,,1,1,1,1,1,1,1,
3225,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4325,1,1,1,1,,1,1,1,1,1,1,1,1,,,,1,1,1,,1,1,1,,1,1,1,1,1,,1,
4921,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1, ,1,,1,1,1,1,1,1,1,1,1,1,1,
3123,,,,1,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,1,1,,,,,1,1,1,1,
4914,,1,,,1,1,1,1,,1,,,,,,,1,,1,1,1,1,1,1,,1,1,1,,1,1,
3299,1,1,1,1,,,,1,1,1,1,1,1,,,,1,1,1,1,,1,1,1,,1,1,1,1,1,1,
4041,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,,,,,1,1,,,,1,1,
4503,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4086,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4484,1,1,,1,,,,1,1, ,1,,1,,,,,,,1,,1,,,1,,1,,,,,
4925,1,1,,1,,1,1,1,,1,1,1,,,,,,1,,1,,1,1,1,,1,1,1,,1,,
4388,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3392,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
3634,,,,,,,,,,1,1,1,,,,,,1,1,1,,,,,1,1,1,1,1,,1,
4373,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4928,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,
3394,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,,
4931,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,,,,1,1,1,1,1,1,1,
4920,1,1,1,1,1,1,1,1,,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4371,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
4490,1,1,1,,1,1,1,1,1,,1,,,,,,1,,,,,,,,,,,,,,,
4924,1,1,1,1,1,,1,1,1,1,1,,1,,,,1,1,1,,,,1,1,,1,1,,1,,,
4246,1,1,1,1,1,,1,1,1,1,1,,1,,,,1,1,1,1,1,1,,,,1,1,1,1,1,,
4220,1,1,1,1,,1,1,,1,1,1,,1,,,,1,1,,1,1,,1,,,1,1,,1,,,
4263,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,
4485,1,1,,1,1,,,1,,1,1,1,1,,,,,1,1,1,,1,1,1,1,,1,1,,,,
4915,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4630,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,
3348,1,1,1,1,1,,1,1,1,,1,1,1,,,,1,,1,1,1,1,1,1,1,,1,1,1,,1,
4523,1,,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4089,1,1,1,1,1,1,1,1,,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4916,,,,,1,1,1,1,1,1,1,1,,,,,1,,1,1,,,1,,,1,1,,1,1,1,
3621,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3481,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,,1,1,1,1,,,1,,,,,
4240,1,1,1,1,1,1,1,1,,1,1,1,1,,,,1,1,1,,1,1,1,,1,1,,1,1,1,1,
4919,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3355,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1, ,1,1,1,1,1,1,,,1,,1,1,
3543,1,1,1,1,,1,1,1,1,,1,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,
3523,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4369,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,1,1,1,,1,1,1,1,1,1,1,,1,
4257,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,,,1,1,1,,,,,,,,,
4074,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,
3648,,1,1,1, ,1,1,1,,1,1,1,1,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,
3379,,1,,1,,1,1,1,1,1,1,,1,,,,,,1,1,1,1,1,1,1,1,1,1,,1,1,
4378,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,
3642,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,,1,1,,1,,
3618,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4521,1,1,1,1,,1,,1,,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3241,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,
3594,,,,,1,1,1,1,1,1,1,,,,,,1,1,,,1,1,,,1,1,1,1,1,1,1,
4466,1,1,1,1,1,1,1,,1,1,1,1,1,,,,1,1,1,,1,,1,,,1,1,,1,1,1,
